source	target	label	source_line
IUT as an Anabelian Gateway (IUT Summit 2025 version).pdf	Inter-universal Teichmuller Theory III.pdf	IUTchIII	573
IUT as an Anabelian Gateway (IUT Summit 2025 version).pdf	Inter-universal Teichmuller Theory IV.pdf	IUTchIV	576
IUT as an Anabelian Gateway (IUT Summit 2025 version).pdf	Panoramic Overview of Inter-universal Teichmuller Theory.pdf	Pano	582
IUT as an Anabelian Gateway (MFO-RIMS23 Oberwolfach Report).pdf	Alien Copies, Gaussians, and Inter-universal Teichmuller Theory.pdf	Alien	286
IUT as an Anabelian Gateway (MFO-RIMS23 Oberwolfach Report).pdf	Essential Logical Structure of Inter-universal Teichmuller Theory.pdf	EssLgc	291
IUT as an Anabelian Gateway (MFO-RIMS23 version).pdf	Alien Copies, Gaussians, and Inter-universal Teichmuller Theory.pdf	Alien	345
IUT as an Anabelian Gateway (MFO-RIMS23 version).pdf	Essential Logical Structure of Inter-universal Teichmuller Theory.pdf	EssLgc	352
IUT as an Anabelian Gateway (MFO-RIMS23 version).pdf	Inter-universal Teichmuller Theory I.pdf	IUTchI	326
IUT as an Anabelian Gateway (MFO-RIMS23 version).pdf	Inter-universal Teichmuller Theory II.pdf	IUTchII	328
IUT as an Anabelian Gateway (MFO-RIMS23 version).pdf	Inter-universal Teichmuller Theory III.pdf	IUTchIII	330
IUT as an Anabelian Gateway (MFO-RIMS23 version).pdf	Inter-universal Teichmuller Theory IV.pdf	IUTchIV	333
IUT as an Anabelian Gateway (MFO-RIMS23 version).pdf	Panoramic Overview of Inter-universal Teichmuller Theory.pdf	Pano	339
IUT as an Anabelian Gateway.pdf	Alien Copies, Gaussians, and Inter-universal Teichmuller Theory.pdf	Alien	288
IUT as an Anabelian Gateway.pdf	Essential Logical Structure of Inter-universal Teichmuller Theory.pdf	EssLgc	295
IUT as an Anabelian Gateway.pdf	Inter-universal Teichmuller Theory I.pdf	IUTchI	269
IUT as an Anabelian Gateway.pdf	Inter-universal Teichmuller Theory II.pdf	IUTchII	271
IUT as an Anabelian Gateway.pdf	Inter-universal Teichmuller Theory III.pdf	IUTchIII	273
IUT as an Anabelian Gateway.pdf	Inter-universal Teichmuller Theory IV.pdf	IUTchIV	276
IUT as an Anabelian Gateway.pdf	Panoramic Overview of Inter-universal Teichmuller Theory.pdf	Pano	282
IUTeich Verification Report 2013-12.pdf	A Survey of the Hodge-Arakelov Theory of Elliptic Curves I.pdf	HASurI	190
IUTeich Verification Report 2013-12.pdf	A Survey of the Hodge-Arakelov Theory of Elliptic Curves II.pdf	HASurII	194
IUTeich Verification Report 2013-12.pdf	Arithmetic Elliptic Curves in General Position.pdf	GenEll	207
IUTeich Verification Report 2013-12.pdf	Inter-universal Teichmuller Theory I.pdf	IUTchI	209
IUTeich Verification Report 2013-12.pdf	Inter-universal Teichmuller Theory II.pdf	IUTchII	211
IUTeich Verification Report 2013-12.pdf	Inter-universal Teichmuller Theory III.pdf	IUTchIII	213
IUTeich Verification Report 2013-12.pdf	Inter-universal Teichmuller Theory IV.pdf	IUTchIV	215
IUTeich Verification Report 2013-12.pdf	Panoramic Overview of Inter-universal Teichmuller Theory.pdf	Pano	217
IUTeich Verification Report 2013-12.pdf	Semi-graphs of Anabelioids.pdf	Semi	197
IUTeich Verification Report 2013-12.pdf	The Etale Theta Function and its Frobenioid-theoretic Manifestations.pdf	EtTh	203
IUTeich Verification Report 2013-12.pdf	The Geometry of Frobenioids I.pdf	FrdI	199
IUTeich Verification Report 2013-12.pdf	The Geometry of Frobenioids II.pdf	FrdII	201
Inter-universal Teichmuller Theory I.pdf	A Survey of the Hodge-Arakelov Theory of Elliptic Curves I.pdf	HASurI	10664
Inter-universal Teichmuller Theory I.pdf	A Survey of the Hodge-Arakelov Theory of Elliptic Curves II.pdf	HASurII	10670
Inter-universal Teichmuller Theory I.pdf	A Theory of Ordinary p-adic Curves.pdf	pOrd	10657
Inter-universal Teichmuller Theory I.pdf	Absolute Anabelian Cuspidalizations.pdf	Cusp	10687
Inter-universal Teichmuller Theory I.pdf	Absolute Anabelian Geometry.pdf	AbsAnab	10673
Inter-universal Teichmuller Theory I.pdf	Arithmetic Elliptic Curves in General Position.pdf	GenEll	10701
Inter-universal Teichmuller Theory I.pdf	Combinatorial Anabelian Topics II.pdf	CbTpII	10645
Inter-universal Teichmuller Theory I.pdf	Inter-universal Teichmuller Theory II.pdf	IUTchII	10705
Inter-universal Teichmuller Theory I.pdf	Inter-universal Teichmuller Theory III.pdf	IUTchIII	10710
Inter-universal Teichmuller Theory I.pdf	Inter-universal Teichmuller Theory IV.pdf	IUTchIV	10713
Inter-universal Teichmuller Theory I.pdf	Semi-graphs of Anabelioids.pdf	Semi	10679
Inter-universal Teichmuller Theory I.pdf	The Etale Theta Function and its Frobenioid-theoretic Manifestations.pdf	EtTh	10693
Inter-universal Teichmuller Theory I.pdf	The Geometry of Anabelioids.pdf	GeoAnbd	10677
Inter-universal Teichmuller Theory I.pdf	The Geometry of Frobenioids I.pdf	FrdI	10689
Inter-universal Teichmuller Theory I.pdf	The Geometry of Frobenioids II.pdf	FrdII	10691
Inter-universal Teichmuller Theory II.pdf	A Survey of the Hodge-Arakelov Theory of Elliptic Curves I.pdf	HASurI	11214
Inter-universal Teichmuller Theory II.pdf	A Survey of the Hodge-Arakelov Theory of Elliptic Curves II.pdf	HASurII	11218
