"file","url","status","bytes","sha256"
"A Brief Introduction to Inter-universal Geometry (Tokyo 2004-01).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/A%20Brief%20Introduction%20to%20Inter-universal%20Geometry%20(Tokyo%202004-01).pdf","already-present","2135080","53B8A30AF04090A85DFF28E1E0D0DF2149954BBFABDFED2A1681D50B44BF8250"
"A Brief Survey of the Geometry of Categories (Okayama 2005-05).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/A%20Brief%20Survey%20of%20the%20Geometry%20of%20Categories%20(Okayama%202005-05).pdf","already-present","1232913","846E00E7042F9CE6A3050DA5691595851747FDE1251EAFB88E6DF265BC8D9EB4"
"A Survey of Absolute p-adic Anabelian Geometry (RIMS Kyoto 2006-11).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/A%20Survey%20of%20Absolute%20p-adic%20Anabelian%20Geometry%20(RIMS%20Kyoto%202006-11).pdf","already-present","136824","F2FAEF924E06C99F6B71EE561E8E13C7EB5C50A0763E7D7CB3D72A88B41353F2"
"A Survey of the Hodge-Arakelov Theory of Elliptic Curves I (comments).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/A%20Survey%20of%20the%20Hodge-Arakelov%20Theory%20of%20Elliptic%20Curves%20I%20(comments).pdf","already-present","23807","17BA8080637A948360DD1FBD8A054AF3A7CC16B338D154DC01A3EAB3B724FD77"
"A Survey of the Hodge-Arakelov Theory of Elliptic Curves I.pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/A%20Survey%20of%20the%20Hodge-Arakelov%20Theory%20of%20Elliptic%20Curves%20I.pdf","already-present","290243","572DAA50B04CECA1BEC41833B7EBCD7442172E2B60DCF20E556BDAA6B00FC70C"
"A Survey of the Hodge-Arakelov Theory of Elliptic Curves II (comments).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/A%20Survey%20of%20the%20Hodge-Arakelov%20Theory%20of%20Elliptic%20Curves%20II%20(comments).pdf","already-present","23157","BE3898F44070ED0F6C2494E3D03E8026C209D9377BEA20DD6E8A0AC8996169C5"
"A Survey of the Hodge-Arakelov Theory of Elliptic Curves II.pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/A%20Survey%20of%20the%20Hodge-Arakelov%20Theory%20of%20Elliptic%20Curves%20II.pdf","already-present","258720","A40B7AB0C471127CD4557CE70B1CB3276A0D002788D26B41989435B90E199D56"
"A Theory of Ordinary p-adic Curves (comments).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/A%20Theory%20of%20Ordinary%20p-adic%20Curves%20(comments).pdf","already-present","66406","0FC49ECB8C9F7515165E14A20EBED466426460BD3D2D1C9CCFE788842DB5B82E"
"A Theory of Ordinary p-adic Curves.pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/A%20Theory%20of%20Ordinary%20p-adic%20Curves.pdf","already-present","1085847","82844F858AEF35ACC747D47519411AC37C244EF3CF18C0AF47F3B1DA6B3A9CD0"
"A Version of the Grothendieck Conjecture for p-adic Local Fields.pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/A%20Version%20of%20the%20Grothendieck%20Conjecture%20for%20p-adic%20Local%20Fields.pdf","already-present","103380","757670E59A4E9D4C69675FEC91B5D6998B411D3554E721B40D445E61A867121E"
"Absolute Anabelian Cuspidalizations (comments).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/Absolute%20Anabelian%20Cuspidalizations%20(comments).pdf","already-present","56783","9ECB6D4F3C09E6E5152D431C5119F30634D2B2D9610766456DCD5222246A4A14"
"Absolute Anabelian Cuspidalizations (LaTeX version).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/Absolute%20Anabelian%20Cuspidalizations%20(LaTeX%20version).pdf","already-present","659403","884FBAE92281D634B01C393D2B26AAC138BB1F3754556B599592095DCE5CD18D"
"Absolute Anabelian Cuspidalizations (RIMS Kyoto 2005-02).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/Absolute%20Anabelian%20Cuspidalizations%20(RIMS%20Kyoto%202005-02).pdf","already-present","2079313","2BDC0A9341C7DD9E49B52F8B4C19D0AB711059D3023DCD5217B36DF4B891A217"
"Absolute Anabelian Cuspidalizations.pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/Absolute%20Anabelian%20Cuspidalizations.pdf","already-present","636169","2FE56B1E95FB5C56E8B0B82FD6BE2A31167D4B3D17C359A1815406A6EE29C57C"
"Absolute Anabelian Geometry (comments).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/Absolute%20Anabelian%20Geometry%20(comments).pdf","already-present","41755","7DA934072C35B0BBF18546C53978C6994DC7EE27215CCABDFF6C0EF6CA520E4F"
"Absolute Anabelian Geometry.pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/Absolute%20Anabelian%20Geometry.pdf","already-present","349099","49719F4A75006314FEE99DD704FB347B716FE140EB2705F7E38E9B57ED3980BA"
"Alien Copies, Gaussians, and Inter-universal Teichmuller Theory.pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/Alien%20Copies,%20Gaussians,%20and%20Inter-universal%20Teichmuller%20Theory.pdf","already-present","1016365","B2510B7276AB08F9F758E283200A4FC87205D2439D6D9B75AFE8DF6CCB182D1E"
"An explicit formula for the generic number of dormant indigenous bundles.pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/An%20explicit%20formula%20for%20the%20generic%20number%20of%20dormant%20indigenous%20bundles.pdf","already-present","251716","8ABBEAEB7051BFB09BA1746AC8882F2BF98A875CC93E481ED00EB0C737CAD2CC"
"An Introduction to p-adic Teichmuller Theory (comments).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/An%20Introduction%20to%20p-adic%20Teichmuller%20Theory%20(comments).pdf","already-present","64210","825C7A2E333E08CC2691DDD81CBD2F088AA08FA8DC7FCA5AA58805B67AA36A4F"
"An Introduction to p-adic Teichmuller Theory.pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/An%20Introduction%20to%20p-adic%20Teichmuller%20Theory.pdf","already-present","344958","8E35C9048787D1711336F908AB9A59C279ED7B04012DFC66BD0720F04A6F07CA"
"Anabelian Geometry from an Inter-universal Point of View (RIMS Kyoto 2004-09).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/Anabelian%20Geometry%20from%20an%20Inter-universal%20Point%20of%20View%20(RIMS%20Kyoto%202004-09).pdf","already-present","4660908","91BDF98725F08D259AFCD0974611D5DECE376F6F528D813BE6F6DBEFF2FF658B"
"Anabelian Geometry in the Hodge-Arakelov Theory of Elliptic Curves (Kokyuroku 2002).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/Anabelian%20Geometry%20in%20the%20Hodge-Arakelov%20Theory%20of%20Elliptic%20Curves%20(Kokyuroku%202002).pdf","already-present","166797","CE0741D7BB7013719FBFD6770B422197FD6E92A94FCC6250C1AB180DA28A855D"
"Anabelioid no kikagaku (Meijidai 2002-03).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/Anabelioid%20no%20kikagaku%20(Meijidai%202002-03).pdf","already-present","144252","F1B79F9E1CC9A9DFFF11154BB04F15B9D1299110BCE31D85687D624F103345F7"
"Anabelioid no kikagaku to Teichmuller riron (Muroran 2002-08).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/Anabelioid%20no%20kikagaku%20to%20Teichmuller%20riron%20(Muroran%202002-08).pdf","already-present","159672","0C18E1FB4E531E3C7CD9BD41C8BFDBB4F12989583506B0C1764244C50EFC3B39"
"Arithmetic Elliptic Curves in General Position (comments).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/Arithmetic%20Elliptic%20Curves%20in%20General%20Position%20(comments).pdf","already-present","56654","AF0389C61F9B95F53AFCA8C160FB69DB866ECCEC1C39260A6A6DC32C0B363B7C"
"Arithmetic Elliptic Curves in General Position.pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/Arithmetic%20Elliptic%20Curves%20in%20General%20Position.pdf","already-present","262332","B9DC115AF61DCA7FE434332EBAFDDF6A376A9E2926DAD4E1EA2DCC0D2441F768"
"Bogomolov from the Point of View of Inter-universal Teichmuller Theory (comments).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/Bogomolov%20from%20the%20Point%20of%20View%20of%20Inter-universal%20Teichmuller%20Theory%20(comments).pdf","already-present","28563","0CA004E4A4210F701EE85586153555C18C4BD0D0095E0ABD648A8472234D32C2"
